dataset,alpha,num_test,method,backbone,marginal_coverage,avg_prediction_set_size,ccr,full_set_rate,final_fragmentation_rate,class_0_range,class_0_count,class_0_coverage,class_0_avg_prediction_set_size,class_1_range,class_1_count,class_1_coverage,class_1_avg_prediction_set_size,class_2_range,class_2_count,class_2_coverage,class_2_avg_prediction_set_size,class_3_range,class_3_count,class_3_coverage,class_3_avg_prediction_set_size,class_4_range,class_4_count,class_4_coverage,class_4_avg_prediction_set_size,raw_fragmentation_rate,avg_hull_inflation,notes
utkface,0.1,2371,ordinal_cqr,quantile_regression,0.9873,2.4184,0.9873,0.0000,0.0000,<20,459,0.9869,1.4466,20-39,1189,0.9950,2.5290,40-59,454,0.9824,2.7974,60-79,202,0.9653,3.0099,>=80,67,0.9552,2.7612,0.0000,0.0000,True-label Mondrian OCQR with exact age as Z and age bin as Y_ord.
utkface,0.1,2371,oaps,softmax,0.9979,3.7642,0.9979,0.3260,0.0000,<20,459,1.0000,3.7669,20-39,1189,1.0000,3.3255,40-59,454,1.0000,4.2489,60-79,202,0.9802,4.8465,>=80,67,0.9851,4.9851,NA,NA,Class-wise OAPS.
utkface,0.1,2371,min_cps,softmax,0.7111,1.0000,0.7111,0.0000,0.0000,<20,459,0.7974,1.0000,20-39,1189,0.8789,1.0000,40-59,454,0.4185,1.0000,60-79,202,0.3614,1.0000,>=80,67,0.1791,1.0000,NA,NA,Marginal min-CPS implementation.
utkface,0.1,2371,min_rcps,softmax,0.9688,2.6575,0.9688,0.1168,0.0000,<20,459,0.9564,1.7516,20-39,1189,0.9924,2.5223,40-59,454,0.9626,3.2643,60-79,202,0.9109,3.8515,>=80,67,0.8507,3.5522,NA,NA,Marginal min-RCPS implementation.
utkface,0.1,2371,risk_control,softmax,0.9734,2.2801,0.9734,0.0312,0.0000,<20,459,0.9368,1.5599,20-39,1189,0.9966,2.1110,40-59,454,0.9846,2.8150,60-79,202,0.9307,3.3366,>=80,67,0.8657,3.4030,NA,NA,Risk-control objective is not identical to a 90 percent coverage guarantee.
utkface,0.1,2371,copoc,binomial_unimodal,0.8979,1.7465,0.8979,0.0000,0.0000,<20,459,0.9477,1.2288,20-39,1189,0.9537,1.8974,40-59,454,0.7952,1.8546,60-79,202,0.7574,1.8317,>=80,67,0.6866,1.6269,NA,NA,COPOC evaluated with required binomial/unimodal backbone.
