dataset,alpha,num_test,method,backbone,checkpoint_variant,marginal_coverage,avg_prediction_set_size,ccr,full_set_rate,raw_full_set_rate,final_fragmentation_rate,class_0_count,class_0_coverage,class_0_avg_prediction_set_size,class_1_count,class_1_coverage,class_1_avg_prediction_set_size,class_2_count,class_2_coverage,class_2_avg_prediction_set_size,class_3_count,class_3_coverage,class_3_avg_prediction_set_size,class_4_count,class_4_coverage,class_4_avg_prediction_set_size,raw_fragmentation_rate,avg_hull_inflation,notes
eyepacs,0.1,3513,ordinal_cqr,quantile_regression,d765_val_loss_0.2322,0.9789,4.8255,0.9789,0.9126,0.9115,0.0000,2581,0.9737,4.8117,245,0.9918,4.9020,529,0.9924,4.8677,87,1.0000,4.7701,71,1.0000,4.8169,0.0011,0.0011,True-label Mondrian OCQR using the original QR checkpoint; final sets use ordinal hull closure.
eyepacs,0.1,3513,ordinal_cqr,quantile_regression,a3td_val_loss_0.1400,1.0000,5.0000,1.0000,1.0000,0.9815,0.0000,2581,1.0000,5.0000,245,1.0000,5.0000,529,1.0000,5.0000,87,1.0000,5.0000,71,1.0000,5.0000,0.0185,0.0185,Lower pinball loss but trivial full prediction sets after candidate-specific calibration and hull closure.
eyepacs,0.1,3513,oaps,softmax,configured_softmax,0.9331,2.7165,0.9331,0.0316,NA,0.0000,2581,1.0000,2.6126,245,0.9633,2.7959,529,0.7996,3.0000,87,0.2529,3.2184,71,0.2254,3.4930,NA,NA,Class-wise OAPS; marginal coverage masks severe rare-class undercoverage.
eyepacs,0.1,3513,min_cps,softmax,configured_softmax,0.7350,1.0000,0.7350,0.0000,NA,0.0000,2581,0.9992,1.0000,245,0.0000,1.0000,529,0.0038,1.0000,87,0.0000,1.0000,71,0.0141,1.0000,NA,NA,Marginal min-CPS implementation.
eyepacs,0.1,3513,min_rcps,softmax,configured_softmax,0.9861,4.0541,0.9861,0.4936,NA,0.0000,2581,1.0000,3.9609,245,0.9755,4.1755,529,0.9565,4.2779,87,0.9195,4.6782,71,0.8169,4.5915,NA,NA,Marginal min-RCPS implementation; strongest baseline worst-class coverage but class 4 remains below 0.9.
eyepacs,0.1,3513,risk_control,softmax,configured_softmax,0.9698,3.2232,0.9698,0.1247,NA,0.0000,2581,1.0000,3.1387,245,0.9837,3.2082,529,0.9660,3.4631,87,0.4483,3.6667,71,0.4930,4.0141,NA,NA,Risk-control objective is not identical to a class-conditional 90 percent coverage guarantee.
eyepacs,0.1,3513,copoc,binomial_unimodal,configured_binomial,0.9026,2.5320,0.9026,0.0000,NA,0.0000,2581,0.9969,2.4378,245,0.9959,2.6449,529,0.6314,2.8091,87,0.1839,2.8736,71,0.0563,3.0845,NA,NA,COPOC uses the required binomial unimodal backbone but strongly undercovers severe classes.
