variant,experimental_status,n_seeds,num_test,marginal_coverage_mean,marginal_coverage_std,macro_class_coverage_mean,macro_class_coverage_std,worst_class_coverage_mean,worst_class_coverage_std,avg_set_size_mean,avg_set_size_std,ccr_mean,ccr_std,avg_sfs_mean,avg_sfs_std,avg_mdj_mean,avg_mdj_std,raw_empty_rate_mean,raw_empty_rate_std,clipped_correction_fraction_mean,clipped_correction_fraction_std
OCQR,Canonical,5,27620,0.8963504672050476,0.054405156643336526,0.8835194325447082,0.06156844085360921,0.7297356247901916,0.17756583376958507,2.60075306892395,0.11380210216009244,0.8963504672050476,0.054405156643336526,1.0,0.0,0.0,0.0,0.0,0.0,NA,NA
OCQR-NoHull,Noncanonical diagnostic,5,27620,0.8963504672050476,0.054405156643336526,0.8835194325447082,0.06156844085360921,0.7297356247901916,0.17756583376958507,2.60075306892395,0.11380210216009244,0.8963504672050476,0.054405156643336526,1.0,0.0,0.0,0.0,0.0,0.0,NA,NA
OCQR-NoFallback,Noncanonical diagnostic,5,27620,0.8963504672050476,0.054405156643336526,0.8835194325447082,0.06156844085360921,0.7297356247901916,0.17756583376958507,2.60075306892395,0.11380210216009244,0.8963504672050476,0.054405156643336526,1.0,0.0,0.0,0.0,0.0,0.0,NA,NA
OCQR-Raw,Noncanonical diagnostic,5,27620,0.8963504672050476,0.054405156643336526,0.8835194325447082,0.06156844085360921,0.7297356247901916,0.17756583376958507,2.60075306892395,0.11380210216009244,0.8963504672050476,0.054405156643336526,1.0,0.0,0.0,0.0,0.0,0.0,NA,NA
OCQR-NonnegativeCorrection,Exploratory post hoc,5,27620,0.9254960179328918,0.03463297228231366,0.9191834473609924,0.03699160664530871,0.8564477086067199,0.06651461183109053,2.8342288017272947,0.04321100745314092,0.9254960179328918,0.03463297228231366,1.0,0.0,0.0,0.0,0.0,0.0,0.48000000000000004,0.2280350850198276
